PSMILES,labels.Exp_Tg(K),meta.reliability
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CC3CC2C2C4CCC(C4)C32)cc1,540.65,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CC3CC2C2CCCC32)cc1,524.65,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CC3CCC2C3)cc1,508.15,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCC2)cc1,439.15,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCCC2)cc1,448.15,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCCCC2)cc1,428.15,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCc3ccccc32)cc1,492.15,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)OC(=O)c3ccccc32)cc1,525.35,black
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)c3ccccc3-c3ccccc32)cc1,628.15,black
[*]Oc1ccc(C2(c3ccc(OC([*])=S)cc3)CCCC2)cc1,352.15,black
[*]Oc1ccc(C2(c3ccc(OC([*])=S)cc3)CCCCC2)cc1,428.15,black
[*]Oc1ccc(C2(c3ccc(OC4(F)C([*])(F)C(F)(F)C4(F)F)cc3)c3ccccc3-c3ccccc32)cc1,501.15,black
[*]Oc1ccc(C2(c3ccc(OS(=O)(=O)c4cccc(S([*])(=O)=O)c4)cc3)CCCCC2)cc1,400.15,black
[*]Oc1ccc(C2(c3ccc(O[Si]([*])(c4ccccc4)c4ccccc4)cc3)c3ccccc3-c3ccccc32)cc1,439.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)c5ccccc5)c(-c5cc([*])ccc5C(=O)c5ccccc5)c4)cc3)c3ccccc3-c3ccccc32)cc1,488.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Cc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1,505.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Cc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc4)C5=O)cc3)CCCCCCCCCCC2)cc1,513.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc([*])cc%11C%10=O)cc9)cc8)C8CC9CC(C8)CC7C9)cc6)cc4)C5=O)cc3)CCCCCCCCCCC2)cc1,535.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc([*])cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1,528.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc([*])cc%11C%10=O)cc9)cc8)CC8CCC7C8)cc6)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1,518.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc([*])cc%11C%10=O)cc9)cc8)CC8CCC7C8)cc6)cc4)C5=O)cc3)CCCCCCCCCCC2)cc1,532.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc4)C5=O)cc3)CCC(c3ccccc3)CC2)cc1,509.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc4)C5=O)cc3)CCCCCCCCCCC2)cc1,503.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c6c4cccc6c(=O)n4c6ccc(-c7ccc8nc9c%10cccc%11c([*])ccc(c(=O)n9c8c7)c%11%10)cc6nc54)cc3)c3ccccc3-c3ccccc32)cc1,694.15,black
[*]Oc1ccc(C2(c3ccc(Oc4ccc5c6c4cccc6c(=O)n4c6ccc(Oc7ccc8nc9c%10cccc%11c([*])ccc(c(=O)n9c8c7)c%11%10)cc6nc54)cc3)c3ccccc3-c3ccccc32)cc1,669.15,black
[*]Oc1ccc(C2(c3ccc(Oc4nc([*])nc(OC)n4)cc3)CCCCC2)cc1,473.15,black
[*]Oc1ccc(C2=C(Cl)C(=O)N(c3ccc(Cc4ccc(N5C(=O)C([*])=C(Cl)C5=O)cc4)cc3)C2=O)cc1,465.15,black
[*]Oc1ccc(C=Cc2ccc(Oc3ccc(-c4nnc(-c5ccc([*])c6ccccc56)o4)c4ccccc34)c3ccccc23)cc1,514.15,black
[*]Oc1ccc(C=Cc2ccc(Oc3ccc(-c4nnc(-c5ccc([*])c6ccccc56)o4)c4ccccc34)cc2)cc1,511.15,black
[*]Oc1ccc(C=Cc2ccc3cccc(OC(=O)c4ccc(C([*])=O)cc4)c3n2)cc1,385.15,black
[*]Oc1ccc(Cc2ccc(Cc3ccc(OC([*])=O)cc3)cc2)cc1,352.65,black
[*]Oc1ccc(Cc2ccc(OC(=O)c3cccc(C([*])=O)c3)cc2)cc1,423.15,black
[*]Oc1ccc(Cc2ccc(OC([*])=O)cc2)cc1,406.65,black
[*]Oc1ccc(Cc2ccc(OC([*])=S)cc2)cc1,368.15,black
[*]Oc1ccc(Cc2ccc(Oc3c(F)c(F)c(COC(c4cccc(C(OCc5c(F)c(F)c([*])c(F)c5F)(C(F)(F)F)C(F)(F)F)c4)(C(F)(F)F)C(F)(F)F)c(F)c3F)cc2)cc1,367.15,black
[*]Oc1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6cc(C(C)(C)C)c([*])cc6C(C)(C)C)cc4)C5=O)cc3C2=O)cc1,566.15,black
[*]Oc1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6cc(C(C)(C)C)ccc6[*])cc4)C5=O)cc3C2=O)cc1,530.15,black
[*]Oc1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc([*])cc6C(C)(C)C)cc4)C5=O)cc3C2=O)cc1,547.15,black
[*]Oc1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc([*])cc6C)cc4)C5=O)cc3C2=O)cc1,538.15,black
[*]Oc1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc([*])c6C#N)cc4)C5=O)cc3C2=O)cc1,544.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(=O)Nc4ccc(Oc5ccc(C6(c7ccc(Oc8ccc(NC(=O)c9ccc%10c(c9)C(=O)N(c9ccc(Oc%11ccc([*])c(C)c%11)cc9)C%10=O)cc8)cc7)NC(=O)c7ccccc76)cc5)cc4)cc3C2=O)cc1,566.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(=O)Nc4ccc(Oc5cccc(Oc6ccc(NC(=O)c7ccc8c(c7)C(=O)N(c7ccc(Oc9cccc([*])c9C#N)cc7)C8=O)cc6)c5)cc4)cc3C2=O)cc1,490.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(=O)Nc4cccc(Oc5cccc(Oc6cccc(Oc7cccc(Oc8cccc(NC(=O)c9ccc%10c(c9)C(=O)N(c9ccc(Oc%11cccc([*])c%11C#N)cc9)C%10=O)c8)c7C#N)c6)c5C#N)c4)cc3C2=O)cc1,472.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6cc(C(C)(C)C)c([*])cc6C(C)(C)C)cc4)C5=O)cc3C2=O)cc1,561.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc([*])c6C#N)cc4)C5=O)cc3C2=O)cc1,518.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(Oc6cc(C(C)(C)C)c([*])cc6C(C)(C)C)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,550.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc([*])c6C#N)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,553.15,black
[*]Oc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc([*])c(OCCN(CC)c6ccc(/N=N/c7ccc([N+](=O)[O-])cc7)cc6)c4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,475.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5cc(C)c(Oc6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(-c9ccc([*])cc9C)c(C)c8)cc6)C7=O)c(C)c5)cc4C)cc3C2=O)cc1,530.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc([*])c(C(C)(C)C)c8)cc6)C7=O)cc5)cc4)cc3C2=O)cc1,502.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(-c%10ccc([*])cc%10C)c(C)c9)cc7)C8=O)cc6)CCC(C(C)(C)C)CC5)cc4)cc3C2=O)cc1,509.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(-c%10ccc([*])cc%10C)c(C)c9)cc7)C8=O)cc6)CCC(c6ccccc6)CC5)cc4)cc3C2=O)cc1,499.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(-c%10ccc([*])cc%10C)c(C)c9)cc7)C8=O)cc6)CCCCCCCCCCC5)cc4)cc3C2=O)cc1,530.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc([*])c(C(C)(C)C)c9)cc7)C8=O)cc6)CCC(c6ccccc6)CC5)cc4)cc3C2=O)cc1,509.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc([*])cc9C(C)(C)C)cc7)C8=O)cc6)CCC(C(C)(C)C)CC5)cc4)cc3C2=O)cc1,506.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc([*])cc9C(C)(C)C)cc7)C8=O)cc6)CCCCCCCCCCC5)cc4)cc3C2=O)cc1,535.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6cc(C(C)(C)C)c([*])cc6C(C)(C)C)cc4)C5=O)cc3C2=O)cc1,515.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6cc(C)c([*])c(C)c6C)cc4)C5=O)cc3C2=O)cc1,534.15,black
[*]Oc1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc([*])cc6C(C)(C)C)cc4)C5=O)cc3C2=O)cc1,513.15,black
[*]Oc1ccc(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6cc(C(C)(C)C)c([*])cc6C(C)(C)C)cc4)C5=O)cc3C2=O)cc1,536.15,black
[*]Oc1ccc(N2C(=O)c3ccc([*])cc3C2=O)cc1,539.15,black
[*]Oc1ccc(NC(=O)c2ccc(C(=O)Nc3c(C)c(C)c([*])c(C)c3C)cc2)cc1,606.15,black
[*]Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(Oc4c(C)c(C)c([*])c(C)c4C)cc3)cc2)cc1,583.15,black
[*]Oc1ccc(NC(=O)c2ccc(Oc3ccc(Oc4ccc(C(=O)Nc5ccc(Oc6ccc([*])cc6C)cc5)cc4)cc3C)cc2)cc1,491.65,black
[*]Oc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(C5(c6ccc(Oc7ccc(N8C(=O)c9ccc(C(=O)Nc%10ccc(Oc%11cc(C(C)(C)C)c([*])cc%11C(C)(C)C)cc%10)cc9C8=O)cc7)cc6)CC6CC5C5CCCC65)cc4)cc2)C3=O)cc1,563.15,black
[*]Oc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(C5(c6ccc(Oc7ccc(N8C(=O)c9ccc(C(=O)Nc%10ccc(Oc%11ccc(-c%12ccc([*])cc%12C)c(C)c%11)cc%10)cc9C8=O)cc7)cc6)CC6CC5C5CCCC65)cc4)cc2)C3=O)cc1,538.15,black
[*]Oc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(C5(c6ccc(Oc7ccc(N8C(=O)c9ccc(C(=O)Nc%10ccc(Oc%11ccc([*])c(C(C)(C)C)c%11)cc%10)cc9C8=O)cc7)cc6)CC6CC5C5CCCC65)cc4)cc2)C3=O)cc1,548.15,black
[*]Oc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc(Oc5ccc(N6C(=O)c7ccc(C(=O)Nc8ccc(Oc9cccc([*])c9C#N)cc8)cc7C6=O)cc5)c4C#N)cc2)C3=O)cc1,493.15,black
[*]Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(Oc4ccc([*])cc4C(C)(C)C)cc3)c2)cc1,481.15,black
[*]Oc1ccc(N[Se]Nc2ccc([*])cc2)cc1,328.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(C([*])=O)c2)cc1,410.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C([*])=O)cc2OCCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,303.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C([*])=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,307.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C([*])=O)cc2OCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,314.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C([*])=O)cc2OCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,323.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C([*])=O)cc2OCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,329.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C([*])=O)cc2OCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,336.15,black
[*]Oc1ccc(OC(=O)c2cc(OCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C([*])=O)cc2OCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,341.15,black
[*]Oc1ccc(OC(=O)c2ccc(-c3ccc(C([*])=O)cc3)cc2-c2ccccc2)c2ccccc12,438.15,black
[*]Oc1ccc(OC(=O)c2ccc(-c3ccc(C([*])=O)cc3)cc2-c2ccccc2)cc1,413.15,black
[*]Oc1ccc(OC(=O)c2ccc(-c3ccc(C([*])=O)cc3)cc2-c2ccccc2)cc1-c1ccccc1,421.15,black
[*]Oc1ccc(OC(=O)c2ccc(-c3ccc(OCCCCCCCCCC[Si](C)(C)O[Si](C)(C)CCCCCCOC(=O)C([*])C)cc3)cc2)cc1,308.15,black
[*]Oc1ccc(OC(=O)c2ccc(-c3ccc(OCCCCCCCCCC[Si](C)(C)O[Si](C)(C)CCCCCCOC(=O)C([*])C)cc3)cc2)cc1[N+](=O)[O-],293.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)c(-c2cccc(C(F)(F)F)c2)c1,428.95,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)c(C(F)(F)F)c1,432.45,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)c(C2CC3CCC2C3)c1,540.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)c(C2CCCCC2)c1,479.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)c(C2CCCCCCC2)c1,486.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1,540.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(-c3ccccc3)cc2)cc1,390.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(Br)cc2)cc1,381.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(C3CCCCC3)cc2)cc1,386.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(Cl)cc2)cc1,380.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(F)cc2)cc1,379.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(Oc3ccccc3)cc2)cc1,356.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc3ccccc3c2)cc1,375.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccccc2)cc1,378.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Sc2ccc(Cl)cc2)cc1,413.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Sc2ccc3ccccc3c2)cc1,421.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Sc2ccccc2)cc1,454.15,black
[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Sc2ccccc2)cc1-c1ccccc1,403.15,black
[*]Oc1ccc(OC(=O)c2ccc(N3C(=O)CC(SCCOCCSC4CC(=O)N(c5ccc(C([*])=O)cc5)C4=O)C3=O)cc2)cc1,439.15,black
[*]Oc1ccc(OC(=O)c2ccc(OC(=O)OC3COC4C(OC([*])=O)COC34)cc2)cc1,388.15,black
[*]Oc1ccc(OC(=O)c2ccc(OC(=O)c3ccc(C(=O)Oc4ccc(C([*])=O)cc4)cc3)cc2)cc1,556.15,black
[*]Oc1ccc(OC(=O)c2ccc(OC([*])=O)cc2)cc1,347.15,black
[*]Oc1ccc(OC(=O)c2ccc(OCCCCCCCCCCCCOc3ccc(C([*])=O)cc3)cc2)c(/C=C/c2ccncc2)c1,367.45,black
[*]Oc1ccc(OC(=O)c2ccc(OCCCCCCCCCCCCOc3ccc(C([*])=O)cc3)cc2)c(S(=O)(=O)c2ccccc2)c1,355.85,black
[*]Oc1ccc(OC(=O)c2ccc(OCCCCCCCCCCOc3ccc(C([*])=O)cc3)cc2)c(S(=O)(=O)c2ccccc2)c1,361.15,black
[*]Oc1ccc(OC(=O)c2ccc(OCCCCCCOc3ccc(C([*])=O)cc3)cc2)c(S(=O)(=O)c2ccccc2)c1,378.65,black
[*]Oc1ccc(OC(=O)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)c2ccccc12,439.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(C2CCC(N4C(=O)c5ccc(C([*])=O)cc5C4=O)CC2)C3=O)cc1,633.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(CCCOCCCCOCCCN2C(=O)c4ccc(C([*])=O)cc4C2=O)C3=O)c(-c2ccccc2)c1,344.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(CCCOCCCCOCCCN2C(=O)c4ccc(C([*])=O)cc4C2=O)C3=O)cc1,329.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(CCOCCOCCN2C(=O)c4ccc(C([*])=O)cc4C2=O)C3=O)c(-c2ccccc2)c1,378.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(CCOCCOCCN2C(=O)c4ccc(C([*])=O)cc4C2=O)C3=O)cc1,378.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(C([*])=O)cc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,485.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(C([*])=O)cc6C5=O)cc4)cc2)C3=O)cc1,543.15,black
[*]Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])=O)cc7C6=O)cc5)cc4)cc2)C3=O)cc1,503.15,black
[*]Oc1ccc(OC(=O)c2cccc(C([*])=O)c2)cc1,459.15,black
[*]Oc1ccc(OC(=O)c2cccc(Oc3ccc(Oc4ccc(Oc5cccc(C([*])=O)c5)cc4)cc3)c2)cc1,374.15,black
[*]Oc1ccc(OC(=O)c2cccc(Oc3ccc(Oc4cccc(C([*])=O)c4)cc3)c2)cc1,392.15,black
[*]Oc1ccc(OC(=O)c2cccc(Oc3cccc(C([*])=O)c3)c2)cc1,392.15,black
[*]Oc1ccc(OC2(F)C([*])(F)C(F)(F)C2(F)F)cc1,314.15,black
[*]Oc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)c7ccc(C([*])=O)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,398.15,black
[*]Oc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc(C([*])=O)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,413.15,black
[*]Oc1ccc(OCCCCCCCCCCOc2ccc(OC(=O)c3ccc(OCCOCCOCCOc4ccc(C([*])=O)cc4)cc3)cc2)cc1,337.15,black
[*]Oc1ccc(OCCCCCCOc2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,326.15,black
[*]Oc1ccc(OCCCCCOc2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,385.15,black
[*]Oc1ccc(OP([*])(=O)OC2CCCCC2)cc1,381.15,black
[*]Oc1ccc(OP([*])(=O)Oc2ccccc2)cc1,370.15,black
[*]Oc1ccc(O[Si]([*])(C)C)cc1,363.15,black
[*]Oc1ccc(O[Si]([*])(C)c2ccccc2)cc1,368.15,black
[*]Oc1ccc(Oc2cc(C(=O)c3ccccc3)c([*])cc2C(=O)c2ccccc2)cc1,410.15,black
[*]Oc1ccc(Oc2ccc(-c3ccc(Oc4ccc(Oc5cc([*])ccc5CCCCCC)cc4)c4ccccc34)c3ccccc23)cc1,423.15,black
[*]Oc1ccc(Oc2ccc(-c3ccc(Oc4ccc(Oc5cccc([*])c5C)cc4)c4ccccc34)c3ccccc23)cc1,429.15,black
[*]Oc1ccc(Oc2ccc(-c3ccc([*])c4ccccc34)c3ccccc23)cc1,499.15,black
[*]Oc1ccc(Oc2ccc(/C=N/CC/N=C/c3ccc([*])cc3)cc2)cc1,374.15,black
[*]Oc1ccc(Oc2ccc(/C=N/CCCC/N=C/c3ccc([*])cc3)cc2)cc1,378.15,black
[*]Oc1ccc(Oc2ccc(/C=N/CCCCCC/N=C/c3ccc([*])cc3)cc2)cc1,384.15,black
[*]Oc1ccc(Oc2ccc(/C=N/CCCCCCCCCC/N=C/c3ccc([*])cc3)cc2)cc1,381.15,black
[*]Oc1ccc(Oc2ccc(/C=N/CCCCCCCCCCCC/N=C/c3ccc([*])cc3)cc2)cc1,391.15,black
[*]Oc1ccc(Oc2ccc(/C=N/c3ccc(/N=C/c4ccc([*])cc4)cc3)cc2)cc1,390.15,black
[*]Oc1ccc(Oc2ccc(C(=O)c3ccccc3)c(-c3cc([*])ccc3C(=O)c3ccccc3)c2)cc1,429.15,black
[*]Oc1ccc(Oc2ccc(C=Nc3ccc(Oc4ccc(N=Cc5ccc([*])cc5)cc4)cc3)cc2)cc1,393.15,black
[*]Oc1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5c(C)cc(Cc6cc(C)c(Oc7cccc8c7C(=O)N(c7ccc([*])cc7C)C8=O)c(C)c6)cc5C)c4C3=O)c(C)c2)cc1,511.15,black
[*]Oc1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5ccc(C(C)(C)c6ccc(Oc7cccc8c7C(=O)N(c7ccc([*])cc7C)C8=O)cc6)cc5)c4C3=O)c(C)c2)cc1,495.15,black
[*]Oc1ccc(Oc2ccc(OC(=O)c3ccc(C(c4ccc(C([*])=O)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,488.15,black
[*]Oc1ccc(Oc2ccc(OC(=O)c3cccc(C([*])=O)c3)cc2)cc1,437.65,black
[*]Oc1ccc(Oc2ccc(OC(=O)c3cccc(Oc4ccc(Oc5cccc(C([*])=O)c5)cc4)c3)cc2)cc1,377.15,black
[*]Oc1ccc(Oc2ccc(OC(=O)c3ccccc3-c3ccccc3C([*])=O)cc2)cc1,420.15,black
[*]Oc1ccc(Oc2ccc(OC([*])=O)cc2)cc1,391.15,black
[*]Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(-c5ccc([*])c6ccccc56)c5ccccc45)cc3)cc2)cc1,420.15,black
[*]Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5cccc(C([*])=O)c5)cc4)cc3)cc2)cc1,407.15,black
[*]Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccc(N8C(=O)c9ccc([*])cc9C8=O)cc7)cc6)cc5)cc3)C4=O)cc2)cc1,484.15,black
[*]Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2)cc1,488.15,black
[*]Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc5)cc3)C4=O)cc2)cc1,476.15,black
[*]Oc1ccc(Oc2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Sc6ccc(Oc7ccc(N8C(=O)c9ccc([*])cc9C8=O)cc7)cc6)cc5)cc3)C4=O)cc2)cc1,467.15,black
